Order : lmp,372,384,[-86.17943199538757;39.562190774625606]
Order : lmp,372,384,[-78.74689051405593;45.488168391669205]
Order : lmp,372,384,[-29.44719014346926;62.829298507691355]
Order : lmp,372,384,[-29.05275160386221;74.97609747737398]
Order : lmp,372,384,[-27.76322832815213;87.03871332096509]
Order : lmp,372,384,[-27.23003956225921;98.87397547045406]
Order : lmp,372,384,[-26.68303744971866;110.81762087692981]
Order : lmp,372,384,[-26.09614347003902;122.98200015561427]
Order : lmp,372,384,[-25.445208800989516;134.86196999176846]
Order : lmp,372,384,[-24.721058973781666;146.91718343890395]
Order : lmp,372,384,[-24.25189867171157;158.98761323475566]
Order : lmp,372,384,[-23.937123167019344;170.9609916909661]
Order : lmp,372,384,[-23.401994258570188;182.93497152383313]
Order : lmp,372,384,[-22.90151859099288;194.9059907690844]
Order : lmp,372,384,[-22.5611553164608;206.85285838419622]
Order : lmp,372,384,[-22.125226975110888;219.07957088469018]
Order : lmp,372,384,[-21.89300045770985;230.86822022549288]
Order : lmp,372,384,[-21.438622550880744;243.03234005113197]
Order : lmp,372,384,[-21.20750053249419;254.89972565315497]
Order : lmp,372,384,[-20.665571052688794;267.20294361904365]
Order : lmp,372,384,[-20.684222047555426;279.01675796533743]
Order : lmp,372,384,[-20.14502581481833;291.2104540748919]
Order : lmp,372,384,[-19.799869834351043;303.26124545382567]
Order : lmp,372,384,[-19.62854565371484;315.0455848933981]
Order : lmp,372,384,[-19.17357398427078;327.1134480638346]
Order : lmp,372,384,[-19.050442545744936;338.8605395275702]
Order : lmp,372,384,[-18.952764931751968;350.86375357349567]
Order : miso,372,384,[-1.3401247062339507;null]
Order : Sample,372,384,[33.35864155185042;-33.13702014779095]
ClearedTrade : 373,384,[1.3401247062339507;27.61418345649246]
Order : buyer,373,384,[262.73037964396514;-1.9030916815846228]
Order : lmp,373,384,[-96.61615998266794;33.40909636007265]
Order : lmp,373,384,[-86.80029874403485;39.443853711095926]
Order : lmp,373,384,[-79.27019308733132;45.4518912118104]
Order : lmp,373,384,[-29.58505140174191;62.92318306591075]
Order : lmp,373,384,[-28.82454374334471;75.06951610277655]
Order : lmp,373,384,[-28.117885384819402;86.95974363445805]
Order : lmp,373,384,[-27.254170876359847;99.05316022910405]
Order : lmp,373,384,[-26.478482715537844;110.97456234024672]
Order : lmp,373,384,[-26.022558451689395;122.78037148467972]
Order : lmp,373,384,[-25.378109760435642;134.9419593262794]
Order : lmp,373,384,[-24.924582306582288;146.89087271762384]
Order : lmp,373,384,[-24.38631033071718;159.11792110145038]
Order : lmp,373,384,[-23.576740208057082;170.9095758861134]
Order : lmp,373,384,[-23.572228845261712;182.92200818512248]
Order : lmp,373,384,[-23.09882161913967;194.85272803384836]
Order : lmp,373,384,[-22.698691802086252;207.02578481442816]
Order : lmp,373,384,[-22.336574232682626;219.0401403199762]
Order : lmp,373,384,[-21.734268743639937;231.15041699591657]
Order : lmp,373,384,[-21.437797520716394;243.30925483508045]
Order : lmp,373,384,[-21.09389619915274;255.27350545961076]
Order : lmp,373,384,[-20.943834667789677;267.13975842331297]
Order : lmp,373,384,[-20.502756787905223;279.4698609243631]
Order : lmp,373,384,[-20.197290095346816;291.17851357501974]
Order : lmp,373,384,[-19.80478412103942;303.28165624138836]
